,;gram;pu;P;1
ar-ar;nom;;VC-VC;88277
arcas;nom;;VCCVC;88285
areal;nom;;VCVVC;88291
atéia;nom;;VCVVV;88443
ateus;adj;;VCVVC;88456
atoms;nom;;VCVCC;88474
atras;adv;;VCCVC;88480
aúdio;gram;ec;VVCVV;88499
autre;nom;;VVCCV;88546
backs;nom;;CVCCC;88592
baker;nom;;CVCVC;88609
balum;nom;;CVCVC;88622
bário;nom;;CVCVV;88650
based;nom;;CVCVC;88661
belts;nom;;CVCCC;88706
biaba;nom;;CVVCV;88738
bicar;ver;;CVCVC;88744
bilro;nom;;CVCCV;88750
black;adj;;CCVCC;88773
block;nom;;CCVCC;88775
bobão;nom;;CVCVV;88783
bobas;nom;;CVCVC;88784
boçal;nom;;CVCVC;88788
bocós;adj;;CVCVC;88793
bolas;gram;in;CVCVC;88802
bordô;adj;;CVCCV;88817
borés;nom;;CVCVC;88819
brama;nom;;CCVCV;88837
brodo;nom;;CCVCV;88866
buggy;nom;;CVCCV;88886
bugio;nom;;CVCVV;88888
bujão;nom;;CVCVV;88889
caqui;nom;;CVCVV;89056
cardo;nom;;CVCCV;89073
cavos;adj;;CVCVC;89159
cello;nom;;CVCCV;89173
cenho;nom;;CVCCV;89175
cêrca;nom;;CVCCV;89194
chale;nom;;CCVCV;89216
chose;nom;;CCVCV;89270
ciano;adj;;CVVCV;89282
citra;nom;;CVCCV;89331
cocôs;nom;;CVCVC;89381
congo;adj;;CVCCV;89587
cotar;ver;;CVCVC;89833
could;nom;;CVVCC;89838
crica;nom;;CCVCV;89876
cuchê;nom;;CVCCV;89913
curra;nom;;CVCCV;89947
cyber;gram;ec;CVCVC;89959
dândi;nom;;CVCCV;89965
début;nom;;CVCVC;89998
depth;nom;;CVCCC;90146
devon;nom;;CVCVC;90509
discs;nom;;CVCCC;90592
dolby;adj;;CVCCV;90691
doudo;adj;;CVVCV;90711
dubio;adj;;CVCVV;90728
ducal;adj;;CVCVC;90735
eilas;adv;;VVCVC;90782
emtre;gram;prp;VCCCV;90939
e-nor;gram;ec+ec;V-CVC;91083
esses;nom;;VCCVC;91357
esssa;nom;;VCCCV;91358
estes;nom;;VCCVC;91390
eteno;adj;;VCVCV;91424
every;nom;;VCVCV;91444
exina;nom;;VCVCV;91529
facha;nom;;CVCCV;91643
fedor;nom;;CVCVC;91727
felis;adj;;CVCVC;91733
fente;nom;;CVCCV;91740
féria;nom;;CVCVV;91741
fiado;adj;;CVVCV;91763
ficta;adj;;CVCCV;91770
ficto;adj;;CVCCV;91771
filet;nom;;CVCVC;91781
flaps;nom;;CCVCC;91842
fogal;nom;;CVCVC;91858
foles;nom;;CVCVC;91859
foral;nom;;CVCVC;91877
force;nom;;CVCCV;91884
forja;nom;;CVCCV;91890
frank;nom;;CCVCC;91944
funds;nom;;CVCCC;92007
furão;nom;;CVCVV;92011
fusco;adj;;CVCCV;92021
gabro;adj;;CVCCV;92030
galgo;nom;;CVCCV;92040
gálio;nom;;CVCVV;92044
gamas;nom;;CVCVC;92048
garça;adj;;CVCCV;92060
gatão;nom;;CVCVV;92073
gelar;ver;;CVCVC;92081
gelos;nom;;CVCVC;92084
gloss;nom;;CCVCC;92131
gnose;nom;;CCVCV;92134
gomas;nom;;CVCVC;92141
gongo;nom;;CVCCV;92143
gp120;nom;;CCNNN;92157
grapa;nom;;CCVCV;92177
graxa;adj;;CCVCV;92185
grill;nom;;CCVCC;92190
guizo;nom;;CVVCV;92207
había;adj;;CVCVV;92214
hacer;nom;;CVCVC;92224
halfs;nom;;CVCCC;92226
haven;nom;;CVCVC;92232
híper;gram;ec;CVCVC;92258
humus;nom;;CVCVC;92325
igapó;nom;;VCVCV;92349
iníco;nom;;VCVCV;92564
irara;nom;;VCVCV;92740
irerê;nom;;VCVCV;92741
ítala;adj;;VCVCV;92774
james;nom;;CVCVC;92789
joven;nom;;CVCVC;92809
juizo;nom;;CVVCV;92813
lavas;nom;;CVCVC;92909
ledor;nom;;CVCVC;92919
lifts;nom;;CVCCC;92993
loose;nom;;CVVCV;93048
lupas;nom;;CVCVC;93074
mairo;adj;;CVVCV;93120
malsã;adj;;CVCCV;93151
mamma;adj;;CVCCV;93164
maria;nom;;CVCVV;93215
mata1;nom;;CVCVN;93241
mbora;nom;;CCVCV;93266
melro;nom;;CVCCV;93311
merce;nom;;CVCCV;93329
méson;nom;;CVCVC;93346
messe;nom;;CVCCV;93347
metis;nom;;CVCVC;93364
min06;nom;;CVCNN;93410
minus;nom;;CVCVC;93435
mismo;adj;;CVCCV;93440
mismo;nom;;CVCCV;93441
miúra;nom;;CVVCV;93458
mixar;ver;;CVCVC;93459
mocho;nom;;CVCCV;93470
mucho;adj;;CVCCV;93557
muito;nom;;CVVCV;93563
nácar;nom;;CVCVC;93599
natas;adj;;CVCVC;93656
netos;adj;;CVCVC;93716
nhaca;nom;;CCVCV;93724
nisei;nom;;CVCVV;93735
nláte;nom;;CCVCV;93740
nodal;adj;;CVCVC;93748
oboés;nom;;VCVVC;93800
oikos;nom;;VVCVC;93856
omnes;nom;;VCCVC;93868
orçar;ver;;VCCVC;93903
orcas;nom;;VCCVC;93904
order;nom;;VCCVC;93910
otras;nom;;VCCVC;93944
padim;nom;;CVCVC;93975
parca;nom;;CVCCV;94039
páteo;adj;;CVCVV;94102
patir;ver;;CVCVC;94108
pence;nom;;CVCCV;94178
peraí;nom;;CVCVV;94209
pesto;nom;;CVCCV;94295
pisca;gram;in;CVCCV;94343
pisca;nom;;CVCCV;94344
plush;nom;;CCVCC;94382
pônei;nom;;CVCVV;94427
potin;nom;;CVCVC;94484
price;nom;;CCVCV;94615
print;nom;;CCVCC;94632
prise;nom;;CCVCV;94635
punto;adj;;CVCCV;94802
purga;nom;;CVCCV;94803
putos;nom;;CVCVC;94809
quati;nom;;CVVCV;94827
quica;adv;;CVVCV;94855
rafts;nom;;CVCCC;94909
ralar;ver;;CVCVC;94915
ralas;adj;;CVCVC;94916
rally;nom;;CVCCV;94917
rayon;nom;;CVVVC;94945
razon;nom;;CVCVC;94948
regas;nom;;CVCVC;95159
rehov;nom;;CVCVC;95184
rênio;nom;;CVCVV;95255
réune;nom;;CVVCV;95408
rider;ver;;CVCVC;95457
rodeo;nom;;CVCVV;95490
rogar;ver;;CVCVC;95495
rondó;nom;;CVCCV;95509
rooms;nom;;CVVCC;95511
rufar;nom;;CVCVC;95536
ruido;nom;;CVVCV;95540
sagüi;nom;;CVCVV;95593
sales;nom;;CVCVC;95604
salis;adj;;CVCVC;95611
santa;nom;;CVCCV;95639
sauce;nom;;CVVCV;95660
saxes;nom;;CVCVC;95665
scene;nom;;CCVCV;95666
scène;nom;;CCVCV;95667
scuds;nom;;CCVCC;95671
serlo;nom;;CVCCV;95763
setup;nom;;CVCVC;95777
sheik;nom;;CCVVC;95786
shunt;nom;;CCVCC;95788
skies;nom;;CCVVC;95847
sonsa;nom;;CVCCV;95926
sport;nom;;CCVCC;95944
stair;ver;;CCVVC;95947
start;nom;;CCVCC;95948
statu;nom;;CCVCV;95949
stent;nom;;CCVCC;95952
stone;nom;;CCVCV;95954
sucre;nom;;CVCCV;96041
sulfa;nom;;CVCCV;96054
tâmil;nom;;CVCVC;96170
tantã;adj;;CVCCV;96181
tarot;nom;;CVCVC;96195
tasca;nom;;CVCCV;96202
tinas;nom;;CVCVC;96339
toast;nom;;CVVCC;96356
tótem;nom;;CVCVC;96404
track;nom;;CCVCC;96418
trois;nom;;CCVVC;96570
trufa;nom;;CCVCV;96584
tumba;gram;in;CVCCV;96594
turca;nom;;CVCCV;96601
ubaia;nom;;VCVVV;96607
uisge;nom;;VVCCV;96611
under;ver;;VCCVC;96624
vacum;adj;;CVCVC;96663
vadio;adj;;CVCVV;96664
varão;adj;;CVCVV;96689
vário;adj;;CVCVV;96693
venir;ver;;CVCVC;96724
verga;nom;;CVCCV;96739
vesga;adj;;CVCCV;96749
vexar;ver;;CVCVC;96756
virus;nom;;CVCVC;96807
vivas;nom;;CVCVC;96830
vodus;nom;;CVCVC;96841
vossa;nom;;CVCCV;96848
water;nom;;CVCVC;96858
waves;nom;;CVCVC;96859
xodós;nom;;CVCVC;96878
zunir;ver;;CVCVC;96906
aação;nom;;VVCVV;100350
abajo;adv;;VCVCV;100356
abeto;nom;;VCVCV;100380
acção;nom;;VCCVV;100484
acões;nom;;VCVVC;100552
acres;adj;;VCCVC;100590
acuar;ver;;VCVVC;100610
agave;nom;;VCVCV;100787
agent;nom;;VCVCC;100789
albor;nom;;VCCVC;100888
albúm;nom;;VCCVC;100890
alias;adv;;VCVVC;100948
along;nom;;VCVCC;100981
alter;ver;;VCCVC;101001
alvas;nom;;VCCVC;101025
amnhã;nom;;VCCCV;101074
anajê;nom;;VCVCV;101110
ancho;adj;;VCCCV;101120
angry;nom;;VCCCV;101148
apara;nom;;VCVCV;101298
apodo;nom;;VCVCV;101353
araçá;nom;;VCVCV;101439
arará;nom;;VCVCV;101445
areas;nom;;VCVVC;101464
aretz;nom;;VCVCC;101471
asmas;nom;;VCCVC;101617
assis;adj;;VCCVC;101661
atado;adj;;VCVCV;101699
azúis;adj;;VCVVC;101940
baggy;nom;;CVCCV;101961
bagos;nom;;CVCVC;101962
baked;nom;;CVCVC;101980
balda;nom;;CVCCV;101988
banzé;nom;;CVCCV;102025
bassê;nom;;CVCCV;102048
batik;nom;;CVCVC;102061
beaks;nom;;CVVCC;102071
beata;adj;;CVVCV;102072
beato;adj;;CVVCV;102076
becão;nom;;CVCVV;102084
bedel;nom;;CVCVC;102086
beges;adj;;CVCVC;102088
belge;nom;;CVCCV;102099
bidês;nom;;CVCVC;102156
biela;nom;;CVVCV;102157
biker;nom;;CVCVC;102166
bílis;nom;;CVCVC;102171
birth;nom;;CVCCC;102183
bisar;ver;;CVCVC;102184
blaid;nom;;CCVVC;102194
boçal;adj;;CVCVC;102212
boite;nom;;CVVCV;102225
botox;nom;;CVCVC;102288
brain;nom;;CCVVC;102295
breca;nom;;CCVCV;102316
cafus;nom;;CVCVC;102446
canga;nom;;CVCCV;102570
canis;nom;;CVCVC;102574
carré;nom;;CVCCV;102652
celso;adj;;CVCCV;102760
cento;nom;;CVCCV;102770
cette;nom;;CVCCV;102815
cheat;nom;;CCVVC;102862
chico;adj;;CCVCV;102878
choça;nom;;CCVCV;102892
chrum;nom;;CCCVC;102904
chuço;nom;;CCVCV;102907
cílio;nom;;CVCVV;102939
cimos;nom;;CVCVC;102940
clair;ver;;CCVVC;102991
cocho;nom;;CVCCV;103037
coias;adj;;CVVVC;103053
comos;nom;;CVCVC;103159
compa;nom;;CVCCV;103162
comum;nom;;CVCVC;103223
conga;adj;;CVCCV;103335
couso;nom;;CVVCV;103709
covis;nom;;CVCVC;103713
crabs;nom;;CCVCC;103718
crawl;nom;;CCVCC;103733
croco;nom;;CCVCV;103783
crypt;nom;;CCVCC;103800
cujos;nom;;CVCVC;103815
cults;nom;;CVCCC;103827
cútis;nom;;CVCVC;103880
dama-;nom;;CVCV-;103891
dante;adj;;CVCCV;103902
dassa;nom;;CVCCV;103906
deben;nom;;CVCVC;103925
delay;nom;;CVCVV;104067
dengo;nom;;CVCCV;104115
desjo;nom;;CVCCV;104526
dinos;nom;;CVCVC;104841
doesn;nom;;CVVCC;105020
dolar;adj;;CVCVC;105028
dolar;ver;;CVCVC;105029
dolce;nom;;CVCCV;105030
dolos;nom;;CVCVC;105031
domos;nom;;CVCVC;105044
donné;nom;;CVCCV;105046
dopar;ver;;CVCVC;105052
dorée;nom;;CVCVV;105058
downs;nom;;CVCCC;105084
dread;nom;;CCVVC;105094
duass;nom;;CVVCC;105109
edeni;nom;;VCVCV;105154
eject;nom;;VCVCC;105201
epoca;nom;;VCVCV;105751
ermos;adj;;VCCVC;105791
estai;nom;;VCCVV;106025
estos;nom;;VCCVC;106075
estro;nom;;VCCCV;106102
fabro;adj;;CVCCV;106425
facit;nom;;CVCVC;106439
faias;nom;;CVVVC;106450
fakes;adj;;CVCVC;106454
falso;nom;;CVCCV;106474
fanho;nom;;CVCCV;106485
fasto;nom;;CVCCV;106514
fight;nom;;CVCCC;106606
fixes;adj;;CVCVC;106675
fofas;adj;;CVCVC;106720
fogo-;nom;;CVCV-;106722
fondo;adj;;CVCCV;106755
forra;adj;;CVCCV;106784
forza;nom;;CVCCV;106790
found;nom;;CVVCC;106808
foyer;nom;;CVVVC;106810
fuças;nom;;CVCVC;106897
fuzuê;nom;;CVCVV;106955
fuzzy;nom;;CVCCV;106956
galés;nom;;CVCVC;106973
ganja;nom;;CVCCV;106995
gazes;nom;;CVCVC;107031
genio;nom;;CVCVV;107053
gloom;nom;;CCVVC;107101
goaná;nom;;CVVCV;107113
gorar;ver;;CVCVC;107127
gorra;nom;;CVCCV;107132
greis;nom;;CCVVC;107193
group;nom;;CCVVC;107210
grrls;nom;;CCCCC;107213
gruas;nom;;CCVVC;107214
guris;nom;;CVCVC;107246
haber;ver;;CVCVC;107249
hacen;nom;;CVCVC;107264
hands;nom;;CVCCC;107271
heard;nom;;CVVCC;107294
hecho;adj;;CVCCV;107296
hello;adj;;CVCCV;107304
herbe;nom;;CVCCV;107317
héros;adj;;CVCVC;107326
hidro;gram;ec;CVCCV;107340
hijos;nom;;CVCVC;107352
hmong;nom;;CCVCC;107390
homen;nom;;CVCVC;107407
homus;nom;;CVCVC;107423
hoste;nom;;CVCCV;107445
hound;nom;;CVVCC;107451
hunos;nom;;CVCVC;107461
hurão;nom;;CVCVV;107464
iansã;nom;;VVCCV;107473
igloo;nom;;VCCVV;107497
ijime;nom;;VCVCV;107512
ilhéu;adj;;VCCVV;107513
ilhéu;nom;;VCCVV;107514
ílion;nom;;VCVVC;107516
image;nom;;VCVCV;107524
ímpio;adj;;VCCVV;107578
indas;nom;;VCCVC;107703
ítalo;adj;;VCVCV;108136
ítrio;nom;;VCCVV;108137
jambu;nom;;CVCCV;108150
japão;nom;;CVCVV;108157
jecas;nom;;CVCVC;108163
jimbo;nom;;CVCCV;108172
jorna;nom;;CVCCV;108188
judge;nom;;CVCCV;108191
jumas;nom;;CVCVC;108208
kanji;nom;;CVCCV;108240
karts;nom;;CVCCC;108244
lasso;adj;;CVCCV;108322
leave;nom;;CVVCV;108351
lesto;adj;;CVCCV;108389
letão;nom;;CVCVV;108390
libar;ver;;CVCVC;108413
líbia;adj;;CVCVV;108427
líbio;nom;;CVCVV;108429
limar;ver;;CVCVC;108449
lists;nom;;CVCCC;108495
lived;nom;;CVCVC;108507
lócus;nom;;CVCVC;108525
login;nom;;CVCVC;108528
lords;nom;;CVCCC;108545
lover;ver;;CVCVC;108560
lúmen;nom;;CVCVC;108576
lundu;nom;;CVCCV;108580
maché;adj;;CVCCV;108607
macus;nom;;CVCVC;108624
má-fe;nom;;CV-CV;108636
malva;nom;;CVCCV;108705
manas;nom;;CVCVC;108711
manco;nom;;CVCCV;108719
manhà;nom;;CVCCV;108736
maple;nom;;CVCCV;108767
means;nom;;CVVCC;108874
medas;nom;;CVCVC;108880
mehor;nom;;CVCVC;108918
memso;adj;;CVCCV;108943
menas;nom;;CVCVC;108945
mesto;adj;;CVCCV;109005
micra;nom;;CVCCV;109052
midia;nom;;CVCVV;109075
mieux;nom;;CVVVC;109077
min12;nom;;CVCNN;109092
min23;nom;;CVCNN;109093
min34;nom;;CVCNN;109095
minke;nom;;CVCCV;109133
mioma;nom;;CVVCV;109142
mitra;nom;;CVCCV;109169
moden;nom;;CVCVC;109188
molhe;nom;;CVCCV;109218
monas;nom;;CVCVC;109225
morir;ver;;CVCVC;109271
mosto;nom;;CVCCV;109281
moura;adj;;CVVCV;109299
mujer;ver;;CVCVC;109317
mundo;gram;tm;CVCCV;109348
muque;nom;;CVCVV;109355
musos;nom;;CVCVC;109372
nardo;nom;;CVCCV;109477
norio;adj;;CVCVV;109617
nosos;nom;;CVCVC;109635
núbia;adj;;CVCVV;109662
nunca;adj;;CVCCV;109667
nunca;nom;;CVCCV;109668
ocres;adj;;VCCVC;109725
ogiva;nom;;VCVCV;109760
omega;nom;;VCVCV;109783
omnia;nom;;VCCVV;109790
onças;adj;;VCCVC;109791
orfão;nom;;VCCVV;109844
ósmio;nom;;VCCVV;109885
otite;nom;;VCVCV;109898
oucos;nom;;VVCVC;109905
oudia;nom;;VVCVV;109906
pacus;nom;;CVCVC;109950
paina;adj;;CVVCV;109971
paíss;nom;;CVVCC;109975
papa-;nom;;CVCV-;110014
parts;nom;;CVCCC;110088
parvo;adj;;CVCCV;110090
paseo;adj;;CVCVV;110094
passa;adj;;CVCCV;110103
paths;nom;;CVCCC;110124
patio;nom;;CVCVV;110130
pavia;nom;;CVCVV;110153
pega-;nom;;CVCV-;110186
penso;nom;;CVCCV;110230
pensó;adj;;CVCCV;110231
penus;nom;;CVCVC;110234
perdu;nom;;CVCCV;110251
piraí;nom;;CVCVV;110442
pirar;ver;;CVCVC;110444
plant;nom;;CCVCC;110486
pobre;nom;;CVCCV;110516
pólio;adj;;CVCVV;110556
poncã;nom;;CVCCV;110583
por16;nom;;CVCNN;110604
post-;nom;;CVCC-;110647
privé;nom;;CCVCV;110901
pulha;nom;;CVCCV;111132
quicé;nom;;CVVCV;111257
quico;nom;;CVVCV;111259
range;nom;;CVCCV;111329
raven;nom;;CVCVC;111358
repto;nom;;CVCCV;111876
rider;nom;;CVCVC;112116
right;nom;;CVCCC;112121
ródio;nom;;CVCVV;112154
rodos;nom;;CVCVC;112156
rogos;nom;;CVCVC;112162
rover;nom;;CVCVC;112207
ruiva;nom;;CVVCV;112218
rules;nom;;CVCVC;112222
sachê;nom;;CVCCV;112290
sacis;nom;;CVCVC;112291
salda;adj;;CVCCV;112318
samos;nom;;CVCVC;112353
scout;nom;;CCVVC;112401
secos;nom;;CVCVC;112410
seder;nom;;CVCVC;112424
seixo;nom;;CVVCV;112451
selic;nom;;CVCVC;112460
semos;nom;;CVCVC;112496
senis;adj;;CVCVC;112502
sense;adj;;CVCCV;112505
sense;nom;;CVCCV;112506
sépia;adj;;CVCVV;112530
setes;nom;;CVCVC;112567
shirt;nom;;CCVCC;112596
shoot;nom;;CCVVC;112598
shots;nom;;CCVCC;112601
sidra;nom;;CVCCV;112609
sikhs;nom;;CVCCC;112615
silla;nom;;CVCCV;112621
sissi;adj;;CVCCV;112670
skunk;nom;;CCVCC;112682
small;nom;;CCVCC;112685
socar;ver;;CVCVC;112710
socós;nom;;CVCVC;112721
soft-;nom;;CVCC-;112729
solas;nom;;CVCVC;112734
soldo;adj;;CVCCV;112737
sólio;nom;;CVCVV;112749
solta;adj;;CVCCV;112751
sonos;nom;;CVCVC;112770
sonsa;adj;;CVCCV;112773
souks;nom;;CVVCC;112794
sound;nom;;CVVCC;112795
space;nom;;CCVCV;112805
sueño;nom;;CVVCV;112946
suiço;adj;;CVVCV;112958
suiço;nom;;CVVCV;112959
sysop;nom;;CVCVC;113088
tabor;nom;;CVCVC;113102
tacar;ver;;CVCVC;113105
tacky;nom;;CVCCV;113112
talás;nom;;CVCVC;113125
tamil;nom;;CVCVC;113139
tantã;nom;;CVCCV;113154
teixo;nom;;CVVCV;113218
tergo;nom;;CVCCV;113286
texte;nom;;CVCCV;113324
thèse;nom;;CCVCV;113327
tíbio;adj;;CVCVV;113332
tilma;nom;;CVCCV;113346
tíner;nom;;CVCVC;113361
tiona;nom;;CVVCV;113366
tmese;nom;;CCVCV;113392
tolda;nom;;CVCCV;113405
tonar;ver;;CVCVC;113423
torça;nom;;CVCCV;113439
tosar;ver;;CVCVC;113465
totós;nom;;CVCVC;113473
trena;nom;;CCVCV;113631
trina;adj;;CCVCV;113662
trole;nom;;CCVCV;113690
trova;nom;;CCVCV;113702
tules;nom;;CVCVC;113728
tunda;nom;;CVCCV;113731
úbere;nom;;VCVCV;113753
ullah;nom;;VCCVC;113762
últim;nom;;VCCVC;113764
ultra;gram;ec;VCCCV;113767
under;nom;;VCCVC;113790
upper;nom;;VCCVC;113818
valos;nom;;CVCVC;113879
vária;nom;;CVCVV;113895
vates;nom;;CVCVC;113906
vênus;nom;;CVCVC;113947
veras;adj;;CVCVC;113950
ville;nom;;CVCCV;114044
virgo;nom;;CVCCV;114071
vison;nom;;CVCVC;114084
volêi;nom;;CVCVV;114127
vovôs;nom;;CVCVC;114148
wafer;ver;;CVCVC;114155
water;ver;;CVCVC;114166
whose;nom;;CCVCV;114167
women;nom;;CVCVC;114174
words;nom;;CVCCC;114176
wrong;nom;;CCVCC;114177
xerém;nom;;CVCVC;114183
xotes;nom;;CVCVC;114193
xucro;adj;;CVCCV;114194
years;nom;;VVVCC;114202
youth;nom;;VVVCC;114204
zelos;nom;;CVCVC;114218
a-11b;nom;;V-NNC;125760
a-12b;nom;;V-NNC;125761
a-13b;nom;;V-NNC;125762
a-16b;nom;;V-NNC;125763
aárea;adj;;VVCVV;125769
abano;nom;;VCVCV;125795
abaré;nom;;VCVCV;125798
abati;nom;;VCVCV;125810
acapu;nom;;VCVCV;125961
ácaro;nom;;VCVCV;125967
achas;nom;;VCCVC;126041
actos;nom;;VCCVC;126187
actum;nom;;VCCVC;126188
ádito;nom;;VCVCV;126285
adria;nom;;VCCVV;126351
adufa;nom;;VCVCV;126355
afogo;nom;;VCVCV;126478
ágape;nom;;VCVCV;126533
aguns;nom;;VCVCC;126649
aidna;adj;;VVCCV;126657
aires;nom;;VVCVC;126665
akytã;nom;;VCVCV;126706
alata;nom;;VCVCV;126728
aldeã;nom;;VCCVV;126766
aleph;nom;;VCVCC;126786
algém;nom;;VCCVC;126808
alías;adv;;VCVVC;126829
allen;nom;;VCCVC;126869
alta-;nom;;VCCV-;126921
amato;nom;;VCVCV;127054
ãmbio;nom;;VCCVV;127066
amish;nom;;VCVCC;127104
anelo;nom;;VCVCV;127212
angel;nom;;VCCVC;127232
ano12;nom;;VCVNN;127294
anões;adj;;VCVVC;127299
apagá;nom;;VCVCV;127570
aplic;nom;;VCCVC;127685
apupo;nom;;VCVCV;127834
àreas;nom;;VCVVC;127911
arnês;nom;;VCCVC;127968
arras;nom;;VCCVC;128011
array;nom;;VCCVV;128020
aruak;nom;;VCVVC;128152
asado;nom;;VCVCV;128155
aseus;adj;;VCVVC;128162
até16;nom;;VCVNN;128339
augur;nom;;VVCVC;128540
auilo;nom;;VVVCV;128543
autou;nom;;VVCVV;128692
avait;nom;;VCVVC;128709
bafio;nom;;CVCVV;128850
bah-i;gram;in+ec;CVC-V;128860
baias;adj;;CVVVC;128862
bairo;nom;;CVVCV;128870
bambo;adj;;CVCCV;128926
basal;adj;;CVCVC;129023
basca;nom;;CVCCV;129025
bauru;nom;;CVVCV;129080
beabá;nom;;CVVCV;129086
bebum;adj;;CVCVC;129103
bells;nom;;CVCCC;129128
berra;nom;;CVCCV;129191
bêtes;nom;;CVCVC;129203
bical;adj;;CVCVC;129213
biguá;nom;;CVCVV;129244
bioma;adj;;CVVCV;129270
bises;nom;;CVCVC;129294
blame;nom;;CCVCV;129312
bleed;nom;;CCVVC;129320
bliss;nom;;CCVCC;129326
bobes;nom;;CVCVC;129351
boers;nom;;CVVCC;129387
bôers;nom;;CVVCC;129388
bofão;nom;;CVCVV;129389
bojos;nom;;CVCVC;129399
bola-;nom;;CVCV-;129402
bonzo;nom;;CVCCV;129442
booms;nom;;CVVCC;129450
borla;nom;;CVCCV;129469
bóson;nom;;CVCVC;129486
brass;nom;;CCVCC;129544
brent;nom;;CCVCC;129560
brião;nom;;CCVVV;129568
broad;nom;;CCVVC;129608
broas;nom;;CCVVC;129611
buena;adj;;CVVCV;129643
bulls;nom;;CVCCC;129658
bulow;nom;;CVCVC;129659
bumbu;nom;;CVCCV;129660
burôs;nom;;CVCVC;129680
butil;adj;;CVCVC;129697
butoh;nom;;CVCVC;129698
cable;nom;;CVCCV;129725
cadáv;nom;;CVCVC;129775
cadre;nom;;CVCCV;129785
caiar;ver;;CVVVC;129807
caido;adj;;CVVCV;129808
cairo;nom;;CVVCV;129818
caked;nom;;CVCVC;129826
calau;nom;;CVCVV;129841
caloy;nom;;CVCVV;129896
camps;nom;;CVCCC;129965
cancã;nom;;CVCCV;129974
candy;nom;;CVCCV;130003
capar;ver;;CVCVC;130055
capos;nom;;CVCVC;130079
capôs;nom;;CVCVC;130080
caron;nom;;CVCVC;130193
carpo;nom;;CVCCV;130199
casão;adj;;CVCVV;130252
cavas;adj;;CVCVC;130363
cavas;nom;;CVCVC;130364
cazzo;adj;;CVCCV;130370
ccomo;adv;;CCVCV;130372
cedrá;adj;;CVCCV;130387
çegar;ver;;CVCVC;130390
celão;nom;;CVCVV;130400
cèpes;nom;;CVCVC;130461
cérea;adj;;CVCVV;130475
cevar;ver;;CVCVC;130512
chaco;nom;;CCVCV;130520
charo;nom;;CCVCV;130580
chats;nom;;CCVCC;130588
cheek;nom;;CCVVC;130603
chige;nom;;CCVCV;130654
chins;adj;;CCVCC;130663
chuto;nom;;CCVCV;130717
cidas;adj;;CVCVC;130752
cidos;nom;;CVCVC;130753
cielo;adj;;CVVCV;130754
cirés;nom;;CVCVC;130820
círio;nom;;CVCVV;130822
clear;adj;;CCVVC;130889
clefs;nom;;CCVCC;130892
coado;adj;;CVVCV;130929
coco-;nom;;CVCV-;130969
coevo;adj;;CVVCV;130984
cofos;nom;;CVCVC;130992
côlch;nom;;CVCCC;131028
combo;nom;;CVCCV;131138
comom;nom;;CVCVC;131206
comp.;nom;;CVCCP;131211
comté;nom;;CVCCV;131349
comun;nom;;CVCVC;131352
común;nom;;CVCVC;131353
conga;nom;;CVCCV;131604
conra;nom;;CVCCV;131665
corão;nom;;CVCVV;132123
côros;nom;;CVCVC;132159
côrte;nom;;CVCCV;132223
cósas;nom;;CVCVC;132239
cotão;nom;;CVCVV;132269
coton;nom;;CVCVC;132283
cotos;nom;;CVCVC;132284
count;nom;;CVVCC;132293
coups;nom;;CVVCC;132294
crêpe;nom;;CCVCV;132360
crude;nom;;CCVCV;132478
cruz-;nom;;CCVC-;132486
cucos;nom;;CVCVC;132500
cuero;nom;;CVVCV;132511
cuité;nom;;CVVCV;132522
cupês;nom;;CVCVC;132578
curau;nom;;CVCVV;132585
curda;nom;;CVCCV;132587
cúrio;nom;;CVCVV;132592
curió;nom;;CVCVV;132593
curul;nom;;CVCVC;132605
cuvée;nom;;CVCVV;132642
daily;nom;;CVVCV;132661
dalma;nom;;CVCCV;132665
da-se;gram;prp+pers;CV-CV;132701
datos;nom;;CVCVC;132726
deber;nom;;CVCVC;132761
debet;nom;;CVCVC;132762
décaa;nom;;CVCVV;132779
decía;adj;;CVCVV;132803
decis;nom;;CVCVC;132825
defin;nom;;CVCVC;132914
dejar;adj;;CVCVC;133009
delém;nom;;CVCVC;133024
denis;nom;;CVCVC;133103
depôr;ver;;CVCVC;133138
désir;nom;;CVCVC;133773
deteu;nom;;CVCVV;134154
dette;nom;;CVCCV;134167
devil;adj;;CVCVC;134210
dia15;nom;;CVVNN;134238
diaba;nom;;CVVCV;134239
díade;nom;;CVVCV;134246
dictu;nom;;CVCCV;134287
dikes;nom;;CVCVC;134357
disks;nom;;CVCCC;134497
dita-;nom;;CVCV-;134626
divas;adj;;CVCVC;134640
dixit;nom;;CVCVC;134673
do-ar;gram;prp+n;CV-VC;134694
docas;adj;;CVCVC;134708
dodos;nom;;CVCVC;134714
dodôs;nom;;CVCVC;134715
doída;adj;;CVVCV;134725
do-in;gram;prp+prp;CV-VC;134730
doing;nom;;CVVCC;134731
doler;ver;;CVCVC;134737
dólmã;nom;;CVCCV;134740
dónde;adv;;CVCCV;134765
donna;nom;;CVCCV;134768
doppo;adj;;CVCCV;134779
doril;adj;;CVCVC;134786
dosul;nom;;CVCVC;134806
douta;adj;;CVVCV;134822
douto;adj;;CVVCV;134824
drang;nom;;CCVCC;134843
